ID,Title,Cuisine,Gluten-free?,Dairy-free?,Protein/serving,Carbs/serving,Fat/serving
0,715424,The Best Chili,American,True,True,33.42,34.93,6.95
1,646512,Salmon Caesar Salad,American,True,False,26.9,7.17,28.96
2,1046982,How to Make the Perfect Sweet Potato Sloppy Joes,American,True,True,48.91,84.96,18.06
3,642540,Falafel Burgers,American,False,True,23.31,80.23,35.46
4,639392,Chunky Two-Bean Chili,American,False,False,23.06,84.78,26.39
5,644581,Ginger Garlic Chili Salmon,American,True,True,34.59,14.94,10.85
6,633837,Baked Sweet Potato Fries,American,True,True,7.31,91.88,11.86
7,660395,Smokey Rainbow Chili,American,True,True,9.43,36.47,5.18
8,638552,Chili chops with cauliflower salad,American,True,False,33.69,25.56,25.87
9,638764,Chipotle Turkey Chili,American,True,False,51.63,42.81,21.95
10,660288,Slow Cooker Kahlua Pork with Sweet Chili Pineapple Sauce,American,True,True,57.07,11.26,17.52
11,795749,Crispy Baked Green Bean Fries,American,True,True,31.86,42.78,48.68
12,636573,Butternut Squash and Black Bean Chili with Bulgar,American,False,True,8.85,45.19,3.27
13,637631,Cheesy Bacon Burger with Spicy Chipotle Aiolo Sauce,American,False,False,49.05,27.67,18.22
14,642695,Feta Stuffed Burgers,American,False,False,51.86,36.42,23.08
15,1096277,Kale Chips with Parmesan Cheese and Garlic,American,True,False,7.15,6.85,12.67
16,775621,Gorgonzola & Grilled Peach Burger,American,False,False,50.62,34.02,69.59
17,637897,Chicken and Chickpea Chili,American,False,True,36.61,79.85,17.8
18,673457,Slow Cooker Chili,American,True,True,49.57,43.01,10.65
19,662376,Superbowl Chili,American,True,False,64.39,28.56,32.58
20,637265,Cashew-Chili Portabello,American,True,True,11.79,54.23,23.85
21,657226,Pulled Pork Sandwich with Mango BBQ sauce,American,False,True,82.57,58.94,34.1
22,649141,La Bella Italian Turkey Burger,American,False,False,63.94,33.43,51.4
23,641627,Dr Pepper Pulled Pork,American,False,True,57.82,80.28,12.69
24,634888,Best Buffalo Chicken Chili,American,True,True,29.14,32.59,7.39
25,1095894,Salmon Amaranth Burgers with Radish Slaw,American,False,True,23.16,33.85,8.83
26,635059,Black Bean and Veggie Burgers with Corn Salsa,American,False,True,7.05,30.82,1.57
27,1697611,Chili con Carne that'll make your taste buds go silly,American,True,False,74.65,58.3,30.93
28,641845,Easy Beef and Bean Chili,American,True,True,37.79,63.76,25.4
29,638549,Chili and Garlic Spiced Beef and Broccoli Stir Fry,American,True,True,0.85,38.5,17.26
30,664011,Turkey Burgers,American,False,True,30.5,11.21,3.99
31,660273,Slow Cooked Beef Chili,American,True,True,29.41,41.79,6.51
32,610281,Ancho Chipotle Chili,American,True,True,43.14,40.09,42.65
33,662391,Suzanne’s Red Chili,American,False,True,29.74,55.23,20.49
34,991010,Chicken Ranch Burgers,American,False,True,40.71,21.83,11.06
35,650377,Low Carb Brunch Burger,American,True,False,53.8,17.58,82.6
36,651190,Masala-Tofu Burger,American,False,True,18.73,84.97,10.53
37,637102,Caribbean Cobb Salad with Fire-Roasted Pineapple Vinaigrette,American,True,True,18.51,20.34,18.7
38,650546,Macaroni and Cheese Gratin,American,False,False,42.43,85.93,37.82
39,1066893,How to Make the Best Chili,American,True,True,32.12,31.83,6.74
40,1096060,Chicken Burgers with Spiced Rub,American,True,False,86.88,28.48,44.97
41,665146,White Bean Turkey Chili,American,False,True,1.66,42.88,6.96
42,659058,Salmon Burgers With Roasted Red Pepper Aioli,American,False,True,39.5,14.52,34.72
43,716426,"Cauliflower, Brown Rice, and Vegetable Fried Rice",Chinese,True,True,7.08,28.93,6.37
44,716311,Mango Fried Rice,Chinese,True,True,15.96,95.36,4.03
45,644826,Gluten Free Dairy Free Sugar Free Chinese Chicken Salad,Chinese,True,True,30.96,28.7,15.42
46,660231,Skinny Veggie Fried Rice,Chinese,True,True,5.05,18.89,8.56
47,663150,Thai Savory Brown Fried Rice,Chinese,True,True,13.53,60.63,41.46
48,638642,Chinese Chicken Salad With Chipotle Dressing,Chinese,True,True,51.07,48.01,45.77
49,638649,Chinese Chicken Salad With Creamy Soy Dressing,Chinese,True,False,50.3,11.35,6.91
50,638369,Korean Sweet n Sour Chicken,Chinese,False,True,56.26,41.26,22.47
51,663169,Thai Veggie Slaw with Peanut Dressing and Crispy Wontons,Chinese,False,True,10.67,29.07,31.45
52,646425,Healthier Pork Fried Rice,Chinese,True,True,27.75,75.03,12.43
53,656777,Pork Fried Rice,Chinese,True,True,41.33,55.5,26.27
54,638722,Chinese Style Stewed Meatballs,Chinese,True,True,0.3,12.29,31.76
55,667701,salmon fried rice,Chinese,True,True,26.06,56.94,11.68
56,638714,Chinese Style Chicken and Noodle Stir Fry,Chinese,False,True,30.94,62.7,10.01
57,643808,Fried Stuffed Wontons with Healthy Dark Chocolate,Chinese,False,True,8.03,19.89,24.02
58,1095843,Chinese Scallion Pancakes,Chinese,False,True,10.77,78.07,26.23
59,633093,Autumn Fried Rice with Buffalo Nuts®,Chinese,True,True,12.69,71.18,17.53
60,658270,Rice Noodles With Wonton/chinese Ravioli In Mushroom Sauce,Chinese,False,True,25.67,12.99,27.23
61,662422,Sweet & Sour Chicken with Lychees,Chinese,True,True,0.6,11.12,19.41
62,642138,Easy Vegetable Fried Rice,Chinese,True,False,7.49,30.25,9.64
63,649073,Korean Saewoo Bokkeumbap (Shrimp Fried Rice),Chinese,True,False,34.26,66.03,13.53
